geographic_area,indicator,sex,current_age,wealth_quintile,residence,mother's_education_level,time_period,obs_value,sub_sector,risk_category
Kenya,indicator_24,Male,Under 5 years old,total,total,total,2003,50.0,PNEU,Low
Kenya,indicator_21,Total,Under 5 years old,total,urban,total,2003,36.0,DIAR,Medium
Kenya,indicator_24,Female,Under 5 years old,total,total,total,2003,48.0,PNEU,Low
Kenya,indicator_10,Total,Under 5 years old,middle,total,total,2003,4.9,MALA,Low
Kenya,indicator_21,Female,Under 5 years old,total,total,total,2003,35.0,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,total,urban,total,2003,30.7,DIAR,Medium
Kenya,indicator_10,Male,Under 5 years old,total,total,total,2003,5.1,MALA,Low
Kenya,indicator_19,Total,Under 5 years old,total,total,total,2003,29.2,DIAR,Low
Kenya,indicator_10,Total,Under 5 years old,total,rural,total,2003,3.5,MALA,Low
Kenya,indicator_10,Total,Under 5 years old,highest,total,total,2003,12.0,MALA,Low
Kenya,indicator_19,Total,Under 5 years old,total,urban,total,2003,31.9,DIAR,Low
Kenya,indicator_19,Total,Under 5 years old,total,rural,total,2003,28.5,DIAR,Low
Kenya,indicator_10,Total,Under 5 years old,total,urban,total,2003,9.8,MALA,Low
Kenya,indicator_10,Total,Under 5 years old,total,total,total,2009,46.7,MALA,Medium
Kenya,indicator_10,Total,Under 5 years old,middle,total,total,2009,48.7,MALA,Medium
Kenya,indicator_10,Male,Under 5 years old,total,total,total,2009,46.2,MALA,Medium
Kenya,indicator_10,Total,Under 5 years old,highest,total,total,2009,58.3,MALA,High
Kenya,indicator_10,Total,Under 5 years old,total,rural,total,2009,43.6,MALA,Medium
Kenya,indicator_10,Total,Under 5 years old,lowest,total,total,2009,38.3,MALA,Medium
Kenya,indicator_10,Total,Under 5 years old,total,urban,total,2009,61.8,MALA,High
Kenya,indicator_10,Total,Under 5 years old,second,total,total,2009,42.3,MALA,Medium
Kenya,indicator_10,Total,Under 5 years old,fourth,total,total,2009,50.5,MALA,Medium
Kenya,indicator_10,Female,Under 5 years old,total,total,total,2009,47.3,MALA,Medium
Kenya,indicator_19,Female,Under 5 years old,total,total,total,2009,40.0,DIAR,Medium
Kenya,indicator_24,Total,Under 5 years old,total,total,total,2009,55.9,PNEU,Low
Kenya,indicator_24,Total,Under 5 years old,total,urban,total,2009,65.5,PNEU,Medium
Kenya,indicator_24,Total,Under 5 years old,total,rural,total,2009,53.9,PNEU,Low
Kenya,indicator_24,Total,Under 5 years old,highest,total,total,2009,62.6,PNEU,Medium
Kenya,indicator_24,Total,Under 5 years old,fourth,total,total,2009,52.0,PNEU,Low
Kenya,indicator_24,Total,Under 5 years old,middle,total,total,2009,62.5,PNEU,Medium
Kenya,indicator_24,Total,Under 5 years old,second,total,total,2009,48.0,PNEU,Low
Kenya,indicator_24,Male,Under 5 years old,total,total,total,2009,57.4,PNEU,Medium
Kenya,indicator_24,Female,Under 5 years old,total,total,total,2009,54.3,PNEU,Low
Kenya,indicator_21,Total,Under 5 years old,total,total,total,2009,42.6,DIAR,Medium
Kenya,indicator_21,Total,Under 5 years old,total,urban,total,2009,44.4,DIAR,Medium
Kenya,indicator_21,Total,Under 5 years old,total,rural,total,2009,42.2,DIAR,Medium
Kenya,indicator_21,Total,Under 5 years old,highest,total,total,2009,41.3,DIAR,Medium
Kenya,indicator_24,Total,Under 5 years old,lowest,total,total,2009,56.5,PNEU,Medium
Kenya,indicator_27,Total,Under 5 years old,total,total,primary education,2009,0.2,DIAR,Low
Kenya,indicator_27,Total,Under 5 years old,total,total,never attended an education programme / no schooling,2009,0.5,DIAR,Medium
Kenya,indicator_27,Total,Under 5 years old,total,urban,total,2009,0.0,DIAR,Low
Kenya,indicator_27,Total,Under 5 years old,total,rural,total,2009,0.2,DIAR,Low
Kenya,indicator_27,Total,Under 5 years old,highest,total,total,2009,0.0,DIAR,Low
Kenya,indicator_27,Total,Under 5 years old,fourth,total,total,2009,0.6,DIAR,Medium
Kenya,indicator_27,Total,Under 5 years old,middle,total,total,2009,0.1,DIAR,Low
Kenya,indicator_27,Total,Under 5 years old,second,total,total,2009,0.0,DIAR,Low
Kenya,indicator_27,Total,Under 5 years old,lowest,total,total,2009,0.2,DIAR,Low
Kenya,indicator_27,Male,Under 5 years old,total,total,total,2009,0.4,DIAR,Low
Kenya,indicator_21,Total,Under 5 years old,fourth,total,total,2009,42.8,DIAR,Medium
Kenya,indicator_21,Total,Under 5 years old,middle,total,total,2009,40.6,DIAR,Medium
Kenya,indicator_21,Total,Under 5 years old,second,total,total,2009,34.9,DIAR,Medium
Kenya,indicator_21,Total,Under 5 years old,lowest,total,total,2009,49.4,DIAR,High
Kenya,indicator_19,Male,Under 5 years old,total,total,total,2009,37.8,DIAR,Medium
Kenya,indicator_15,Total,Under 5 years old,total,total,total,2009,33.5,MALA,Low
Kenya,indicator_15,Total,Under 5 years old,total,urban,total,2009,52.9,MALA,Low
Kenya,indicator_15,Total,Under 5 years old,total,rural,total,2009,28.9,MALA,Low
Kenya,indicator_15,Total,Under 5 years old,highest,total,total,2009,49.5,MALA,Low
Kenya,indicator_15,Total,Under 5 years old,fourth,total,total,2009,25.6,MALA,Low
Kenya,indicator_15,Total,Under 5 years old,middle,total,total,2009,36.7,MALA,Low
Kenya,indicator_15,Total,Under 5 years old,second,total,total,2009,29.4,MALA,Low
Kenya,indicator_15,Total,Under 5 years old,lowest,total,total,2009,27.8,MALA,Low
Kenya,indicator_15,Male,Under 5 years old,total,total,total,2009,35.1,MALA,Low
Kenya,indicator_15,Female,Under 5 years old,total,total,total,2009,31.5,MALA,Low
Kenya,indicator_19,Total,Under 5 years old,lowest,total,total,2009,39.8,DIAR,Medium
Kenya,indicator_19,Total,Under 5 years old,second,total,total,2009,34.8,DIAR,Low
Kenya,indicator_19,Total,Under 5 years old,fourth,total,total,2009,38.7,DIAR,Medium
Kenya,indicator_21,Male,Under 5 years old,total,total,total,2009,43.3,DIAR,Medium
Kenya,indicator_21,Female,Under 5 years old,total,total,total,2009,41.8,DIAR,Medium
Kenya,indicator_20,Total,Under 5 years old,total,total,total,2009,0.2,DIAR,Low
Kenya,indicator_20,Total,Under 5 years old,total,total,primary education,2009,0.2,DIAR,Low
Kenya,indicator_20,Total,Under 5 years old,total,total,never attended an education programme / no schooling,2009,0.3,DIAR,Low
Kenya,indicator_20,Total,Under 5 years old,total,urban,total,2009,0.0,DIAR,Low
Kenya,indicator_20,Total,Under 5 years old,total,rural,total,2009,0.2,DIAR,Low
Kenya,indicator_20,Total,Under 5 years old,fourth,total,total,2009,0.6,DIAR,Low
Kenya,indicator_20,Total,Under 5 years old,middle,total,total,2009,0.1,DIAR,Low
Kenya,indicator_20,Total,Under 5 years old,lowest,total,total,2009,0.2,DIAR,Low
Kenya,indicator_20,Male,Under 5 years old,total,total,total,2009,0.3,DIAR,Low
Kenya,indicator_19,Total,Under 5 years old,total,total,total,2009,38.8,DIAR,Medium
Kenya,indicator_19,Total,Under 5 years old,total,urban,total,2009,40.3,DIAR,Medium
Kenya,indicator_19,Total,Under 5 years old,total,rural,total,2009,38.5,DIAR,Medium
Kenya,indicator_19,Total,Under 5 years old,highest,total,total,2009,36.7,DIAR,Medium
Kenya,indicator_19,Total,Under 5 years old,middle,total,total,2009,43.8,DIAR,Medium
Kenya,indicator_27,Total,Under 5 years old,total,total,total,2009,0.2,DIAR,Low
Kenya,indicator_7,Total,Under 5 years old,total,total,never attended an education programme / no schooling,2009,51.2,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,total,rural,total,2009,48.7,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,highest,total,total,2009,46.3,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,middle,total,total,2009,57.8,DIAR,High
Kenya,indicator_7,Total,Under 5 years old,second,total,total,2009,36.5,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,lowest,total,total,2009,48.7,DIAR,Medium
Kenya,indicator_7,Male,Under 5 years old,total,total,total,2009,50.4,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,fourth,total,total,2009,54.0,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,total,urban,total,2009,48.3,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,total,total,secondary and higher,2009,53.9,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,total,total,total,2009,48.6,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,total,total,primary education,2009,46.4,DIAR,Medium
Kenya,indicator_7,Female,Under 5 years old,total,total,total,2009,46.5,DIAR,Medium
Kenya,indicator_10,Total,Under 5 years old,total,total,total,2010,42.2,MALA,Medium
Kenya,indicator_16,Male,Under 5 years old,total,total,total,2010,58.1,MALA,Low
Kenya,indicator_16,Total,Under 5 years old,lowest,total,total,2010,52.6,MALA,Low
Kenya,indicator_16,Total,Under 5 years old,second,total,total,2010,63.6,MALA,Medium
Kenya,indicator_16,Total,Under 5 years old,middle,total,total,2010,49.6,MALA,Low
Kenya,indicator_16,Total,Under 5 years old,fourth,total,total,2010,62.4,MALA,Low
Kenya,indicator_16,Total,Under 5 years old,highest,total,total,2010,66.5,MALA,Medium
Kenya,indicator_16,Total,Under 5 years old,total,rural,total,2010,57.5,MALA,Low
Kenya,indicator_16,Female,Under 5 years old,total,total,total,2010,58.9,MALA,Low
Kenya,indicator_16,Total,Under 5 years old,total,total,total,2010,58.5,MALA,Low
Kenya,indicator_17,Female,Under 5 years old,total,total,total,2010,12.1,MALA,Low
Kenya,indicator_17,Male,Under 5 years old,total,total,total,2010,11.6,MALA,Low
Kenya,indicator_17,Total,Under 5 years old,lowest,total,total,2010,4.2,MALA,Low
Kenya,indicator_17,Total,Under 5 years old,second,total,total,2010,10.8,MALA,Low
Kenya,indicator_17,Total,Under 5 years old,fourth,total,total,2010,15.7,MALA,Low
Kenya,indicator_17,Total,Under 5 years old,highest,total,total,2010,22.4,MALA,Low
Kenya,indicator_17,Total,Under 5 years old,total,rural,total,2010,10.8,MALA,Low
Kenya,indicator_17,Total,Under 5 years old,total,urban,total,2010,18.3,MALA,Low
Kenya,indicator_17,Total,Under 5 years old,total,total,total,2010,11.8,MALA,Low
Kenya,indicator_16,Total,Under 5 years old,total,urban,total,2010,64.4,MALA,Medium
Kenya,indicator_17,Total,Under 5 years old,middle,total,total,2010,11.2,MALA,Low
Kenya,indicator_15,Total,Under 5 years old,total,total,total,2010,51.3,MALA,Low
Kenya,indicator_10,Total,Under 5 years old,lowest,total,total,2010,35.3,MALA,Medium
Kenya,indicator_10,Total,Under 5 years old,fourth,total,total,2010,46.3,MALA,Medium
Kenya,indicator_10,Total,Under 5 years old,total,rural,total,2010,41.4,MALA,Medium
Kenya,indicator_10,Total,Under 5 years old,middle,total,total,2010,43.3,MALA,Medium
Kenya,indicator_10,Total,Under 5 years old,second,total,total,2010,41.0,MALA,Medium
Kenya,indicator_10,Total,Under 5 years old,total,urban,total,2010,46.3,MALA,Medium
Kenya,indicator_10,Total,Under 5 years old,highest,total,total,2010,48.2,MALA,Medium
Kenya,indicator_10,Male,Under 5 years old,total,total,total,2010,42.8,MALA,Medium
Kenya,indicator_10,Female,Under 5 years old,total,total,total,2010,41.6,MALA,Medium
Kenya,indicator_23,Total,15 to 49 years old,total,total,total,2014,35.6,POSTNATAL_CARE,Low
Kenya,indicator_17,Total,Under 5 years old,total,total,total,2014,34.9,MALA,Medium
Kenya,indicator_27,Female,Under 5 years old,total,total,total,2014,8.2,DIAR,Medium
Kenya,indicator_27,Male,Under 5 years old,total,total,total,2014,8.1,DIAR,Medium
Kenya,indicator_17,Total,Under 5 years old,total,urban,total,2014,38.6,MALA,High
Kenya,indicator_17,Total,Under 5 years old,total,rural,total,2014,33.2,MALA,Medium
Kenya,indicator_23,Total,15 to 49 years old,lowest,total,total,2014,23.5,POSTNATAL_CARE,Low
Kenya,indicator_23,Total,15 to 49 years old,second,total,total,2014,28.2,POSTNATAL_CARE,Low
Kenya,indicator_19,Female,Under 5 years old,total,total,total,2014,51.0,DIAR,High
Kenya,indicator_17,Total,Under 5 years old,highest,total,total,2014,44.2,MALA,High
Kenya,indicator_27,Total,Under 5 years old,lowest,total,total,2014,6.1,DIAR,Medium
Kenya,indicator_27,Total,Under 5 years old,total,total,total,2014,8.1,DIAR,Medium
Kenya,indicator_16,Female,Under 5 years old,total,total,total,2014,71.9,MALA,Medium
Kenya,indicator_23,Total,15 to 19 years old,total,total,total,2014,34.7,POSTNATAL_CARE,Low
Kenya,indicator_16,Male,Under 5 years old,total,total,total,2014,71.6,MALA,Medium
Kenya,indicator_27,Total,Under 5 years old,total,total,primary education,2014,5.3,DIAR,Medium
Kenya,indicator_16,Total,Under 5 years old,lowest,total,total,2014,68.2,MALA,Medium
Kenya,indicator_16,Total,Under 5 years old,second,total,total,2014,72.7,MALA,High
Kenya,indicator_27,Total,Under 5 years old,total,total,never attended an education programme / no schooling,2014,7.9,DIAR,Medium
Kenya,indicator_16,Total,Under 5 years old,middle,total,total,2014,72.0,MALA,High
Kenya,indicator_27,Total,Under 5 years old,total,total,secondary and higher,2014,14.1,DIAR,Medium
Kenya,indicator_16,Total,Under 5 years old,fourth,total,total,2014,71.7,MALA,Medium
Kenya,indicator_16,Total,Under 5 years old,highest,total,total,2014,75.7,MALA,High
Kenya,indicator_27,Total,Under 5 years old,total,urban,total,2014,11.0,DIAR,Medium
Kenya,indicator_16,Total,Under 5 years old,total,urban,total,2014,72.6,MALA,High
Kenya,indicator_27,Total,Under 5 years old,total,rural,total,2014,6.7,DIAR,Medium
Kenya,indicator_16,Total,Under 5 years old,total,total,total,2014,71.7,MALA,Medium
Kenya,indicator_27,Total,Under 5 years old,highest,total,total,2014,12.5,DIAR,Medium
Kenya,indicator_17,Female,Under 5 years old,total,total,total,2014,34.8,MALA,Medium
Kenya,indicator_27,Total,Under 5 years old,fourth,total,total,2014,12.2,DIAR,Medium
Kenya,indicator_17,Male,Under 5 years old,total,total,total,2014,35.0,MALA,Medium
Kenya,indicator_27,Total,Under 5 years old,middle,total,total,2014,7.5,DIAR,Medium
Kenya,indicator_17,Total,Under 5 years old,lowest,total,total,2014,30.4,MALA,Medium
Kenya,indicator_17,Total,Under 5 years old,second,total,total,2014,36.9,MALA,Medium
Kenya,indicator_27,Total,Under 5 years old,second,total,total,2014,5.2,DIAR,Medium
Kenya,indicator_17,Total,Under 5 years old,middle,total,total,2014,31.7,MALA,Medium
Kenya,indicator_16,Total,Under 5 years old,total,rural,total,2014,71.4,MALA,Medium
Kenya,indicator_19,Male,Under 5 years old,total,total,total,2014,56.3,DIAR,High
Kenya,indicator_24,Total,Under 5 years old,highest,total,total,2014,73.5,PNEU,High
Kenya,indicator_20,Total,Under 5 years old,middle,total,total,2014,7.4,DIAR,Medium
Kenya,indicator_20,Total,Under 5 years old,fourth,total,total,2014,11.5,DIAR,Medium
Kenya,indicator_20,Total,Under 5 years old,highest,total,total,2014,10.3,DIAR,Medium
Kenya,indicator_20,Total,Under 5 years old,total,rural,total,2014,5.9,DIAR,Medium
Kenya,indicator_24,Total,Under 5 years old,fourth,total,total,2014,63.4,PNEU,Medium
Kenya,indicator_20,Total,Under 5 years old,total,urban,total,2014,9.9,DIAR,Medium
Kenya,indicator_20,Total,Under 5 years old,total,total,secondary and higher,2014,12.6,DIAR,Medium
Kenya,indicator_20,Total,Under 5 years old,total,total,never attended an education programme / no schooling,2014,5.7,DIAR,Medium
Kenya,indicator_20,Total,Under 5 years old,total,total,primary education,2014,5.0,DIAR,Medium
Kenya,indicator_21,Total,Under 5 years old,total,rural,total,2014,49.2,DIAR,High
Kenya,indicator_24,Total,Under 5 years old,middle,total,total,2014,64.9,PNEU,Medium
Kenya,indicator_20,Total,Under 5 years old,total,total,total,2014,7.2,DIAR,Medium
Kenya,indicator_20,Total,Under 5 years old,second,total,total,2014,4.7,DIAR,Medium
Kenya,indicator_21,Female,Under 5 years old,total,total,total,2014,51.1,DIAR,High
Kenya,indicator_21,Male,Under 5 years old,total,total,total,2014,55.5,DIAR,High
Kenya,indicator_24,Total,Under 5 years old,lowest,total,total,2014,62.6,PNEU,Medium
Kenya,indicator_15,Total,Under 5 years old,total,total,total,2014,85.8,MALA,Medium
Kenya,indicator_21,Total,Under 5 years old,lowest,total,total,2014,48.2,DIAR,High
Kenya,indicator_23,Total,15 to 49 years old,total,urban,total,2014,45.1,POSTNATAL_CARE,Medium
Kenya,indicator_21,Total,Under 5 years old,second,total,total,2014,51.7,DIAR,High
Kenya,indicator_24,Male,Under 5 years old,total,total,total,2014,67.7,PNEU,Medium
Kenya,indicator_21,Total,Under 5 years old,middle,total,total,2014,51.1,DIAR,High
Kenya,indicator_21,Total,Under 5 years old,fourth,total,total,2014,58.0,DIAR,High
Kenya,indicator_24,Female,Under 5 years old,total,total,total,2014,63.7,PNEU,Medium
Kenya,indicator_24,Total,Under 5 years old,second,total,total,2014,66.7,PNEU,Medium
Kenya,indicator_21,Total,Under 5 years old,highest,total,total,2014,63.6,DIAR,High
Kenya,indicator_24,Total,Under 5 years old,total,rural,total,2014,66.7,PNEU,Medium
Kenya,indicator_20,Male,Under 5 years old,total,total,total,2014,7.9,DIAR,Medium
Kenya,indicator_23,Total,15 to 49 years old,middle,total,total,2014,37.7,POSTNATAL_CARE,Medium
Kenya,indicator_19,Total,Under 5 years old,lowest,total,total,2014,52.1,DIAR,High
Kenya,indicator_19,Total,Under 5 years old,second,total,total,2014,53.3,DIAR,High
Kenya,indicator_19,Total,Under 5 years old,middle,total,total,2014,55.3,DIAR,High
Kenya,indicator_23,Total,15 to 49 years old,fourth,total,total,2014,42.4,POSTNATAL_CARE,Medium
Kenya,indicator_21,Total,Under 5 years old,total,total,total,2014,53.4,DIAR,High
Kenya,indicator_19,Total,Under 5 years old,fourth,total,total,2014,55.0,DIAR,High
Kenya,indicator_23,Total,15 to 49 years old,highest,total,total,2014,50.1,POSTNATAL_CARE,Medium
Kenya,indicator_20,Total,Under 5 years old,lowest,total,total,2014,5.0,DIAR,Medium
Kenya,indicator_19,Total,Under 5 years old,highest,total,total,2014,54.5,DIAR,High
Kenya,indicator_19,Total,Under 5 years old,total,rural,total,2014,51.9,DIAR,High
Kenya,indicator_24,Total,Under 5 years old,total,total,total,2014,65.7,PNEU,Medium
Kenya,indicator_21,Total,Under 5 years old,total,urban,total,2014,61.8,DIAR,High
Kenya,indicator_19,Total,Under 5 years old,total,urban,total,2014,57.5,DIAR,High
Kenya,indicator_24,Total,Under 5 years old,total,urban,total,2014,63.6,PNEU,Medium
Kenya,indicator_23,Total,15 to 49 years old,total,rural,total,2014,30.3,POSTNATAL_CARE,Low
Kenya,indicator_19,Total,Under 5 years old,total,total,total,2014,53.8,DIAR,High
Kenya,indicator_20,Female,Under 5 years old,total,total,total,2014,6.5,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,total,urban,total,2014,56.7,DIAR,High
Kenya,indicator_7,Total,Under 5 years old,total,total,total,2014,57.6,DIAR,High
Kenya,indicator_7,Total,Under 5 years old,total,total,primary education,2014,55.9,DIAR,High
Kenya,indicator_7,Total,Under 5 years old,total,total,never attended an education programme / no schooling,2014,63.3,DIAR,High
Kenya,indicator_7,Total,Under 5 years old,total,total,secondary and higher,2014,59.1,DIAR,High
Kenya,indicator_7,Total,Under 5 years old,total,rural,total,2014,58.1,DIAR,High
Kenya,indicator_7,Total,Under 5 years old,highest,total,total,2014,55.6,DIAR,High
Kenya,indicator_7,Total,Under 5 years old,fourth,total,total,2014,54.8,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,middle,total,total,2014,56.4,DIAR,High
Kenya,indicator_7,Total,Under 5 years old,second,total,total,2014,58.3,DIAR,High
Kenya,indicator_7,Total,Under 5 years old,lowest,total,total,2014,60.8,DIAR,High
Kenya,indicator_7,Male,Under 5 years old,total,total,total,2014,59.1,DIAR,High
Kenya,indicator_7,Female,Under 5 years old,total,total,total,2014,55.9,DIAR,High
Kenya,indicator_15,Female,Under 5 years old,total,total,total,2014,87.4,MALA,Medium
Kenya,indicator_15,Male,Under 5 years old,total,total,total,2014,84.3,MALA,Medium
Kenya,indicator_15,Total,Under 5 years old,lowest,total,total,2014,83.5,MALA,Medium
Kenya,indicator_10,Total,Under 5 years old,total,total,total,2014,54.1,MALA,Medium
Kenya,indicator_10,Female,Under 5 years old,total,total,total,2014,53.4,MALA,Medium
Kenya,indicator_10,Male,Under 5 years old,total,total,total,2014,54.7,MALA,High
Kenya,indicator_10,Total,Under 5 years old,lowest,total,total,2014,40.4,MALA,Medium
Kenya,indicator_15,Total,Under 5 years old,second,total,total,2014,88.2,MALA,Medium
Kenya,indicator_10,Total,Under 5 years old,second,total,total,2014,55.2,MALA,High
