geographic_area,indicator,sex,current_age,wealth_quintile,residence,mother's_education_level,time_period,obs_value,sub_sector,category,risk_category
Kenya,indicator_14,Total,Total,total,total,total,2002,5687.3,MATERNAL_MORTALITY,mother,Low
Kenya,indicator_1,Total,10 to 14 years old,total,total,total,2002,2.7,FERTILITY,mother,Medium
Kenya,indicator_1,Total,15 to 19 years old,total,total,total,2002,114.2,FERTILITY,mother,High
Kenya,indicator_21,Total,Under 5 years old,total,total,total,2003,33.0,DIAR,child,Medium
Kenya,indicator_25,Total,15 to 49 years old,total,urban,total,2003,72.0,DELIVERY,mother,Medium
Kenya,indicator_25,Total,15 to 49 years old,total,rural,total,2003,34.5,DELIVERY,mother,Low
Kenya,indicator_5,Total,Total,total,urban,total,2003,9.4,DELIVERY,mother,High
Kenya,indicator_18,Total,Total,total,total,total,2003,428.75,MATERNAL_MORTALITY,mother,Medium
Kenya,indicator_5,Total,Total,total,rural,total,2003,2.8,DELIVERY,mother,Low
Kenya,indicator_5,Total,Total,highest,total,total,2003,11.2,DELIVERY,mother,High
Kenya,indicator_5,Total,Total,fourth,total,total,2003,3.2,DELIVERY,mother,Medium
Kenya,indicator_11,Total,15 to 49 years old,lowest,total,total,2003,1.7,MALA,mother,Low
Kenya,indicator_5,Total,Total,middle,total,total,2003,2.6,DELIVERY,mother,Low
Kenya,indicator_9,Total,15 to 49 years old,total,rural,total,2003,2.0,MALA,mother,Low
Kenya,indicator_19,Female,Under 5 years old,total,total,total,2003,31.6,DIAR,child,Low
Kenya,indicator_5,Total,Total,second,total,total,2003,3.0,DELIVERY,mother,Low
Kenya,indicator_2,Total,15 to 19 years old,total,total,total,2003,83.8,ANTENATAL,mother,Low
Kenya,indicator_5,Total,Total,lowest,total,total,2003,1.2,DELIVERY,mother,Low
Kenya,indicator_19,Male,Under 5 years old,total,total,total,2003,27.2,DIAR,child,Low
Kenya,indicator_8,Total,Total,total,total,total,2003,40.1,DELIVERY,mother,Medium
Kenya,indicator_5,Total,15 to 19 years old,total,total,total,2003,3.9,DELIVERY,mother,Medium
Kenya,indicator_8,Total,15 to 19 years old,total,total,total,2003,45.9,DELIVERY,mother,Medium
Kenya,indicator_19,Total,Under 5 years old,lowest,total,total,2003,29.7,DIAR,child,Low
Kenya,indicator_4,Total,20 to 24 years old,total,total,total,2003,22.7,DELIVERY,mother,Medium
Kenya,indicator_10,Female,Under 5 years old,total,total,total,2003,4.1,MALA,child,Low
Kenya,indicator_10,Total,Under 5 years old,total,total,total,2003,4.6,MALA,child,Low
Kenya,indicator_19,Total,Under 5 years old,second,total,total,2003,26.6,DIAR,child,Low
Kenya,indicator_25,Total,15 to 49 years old,fourth,total,total,2003,54.9,DELIVERY,mother,Medium
Kenya,indicator_19,Total,Under 5 years old,middle,total,total,2003,26.4,DIAR,child,Low
Kenya,indicator_9,Total,15 to 49 years old,middle,total,total,2003,2.0,MALA,mother,Low
Kenya,indicator_8,Total,Total,lowest,total,total,2003,16.0,DELIVERY,mother,Low
Kenya,indicator_19,Total,Under 5 years old,fourth,total,total,2003,27.7,DIAR,child,Low
Kenya,indicator_5,Total,Total,total,total,total,2003,4.0,DELIVERY,mother,Medium
Kenya,indicator_6,Total,15 to 19 years old,total,total,total,2003,12.7,FAMILY_PLANNING,mother,Low
Kenya,indicator_25,Total,15 to 49 years old,total,total,total,2003,41.6,DELIVERY,mother,Low
Kenya,indicator_7,Total,Under 5 years old,total,total,total,2003,29.7,DIAR,child,Medium
Kenya,indicator_11,Total,15 to 49 years old,highest,total,total,2003,7.6,MALA,mother,Low
Kenya,indicator_11,Total,15 to 49 years old,total,rural,total,2003,5.1,MALA,mother,Low
Kenya,indicator_7,Total,Under 5 years old,total,rural,total,2003,29.5,DIAR,child,Medium
Kenya,indicator_11,Total,15 to 49 years old,total,urban,total,2003,6.6,MALA,mother,Low
Kenya,indicator_7,Total,Under 5 years old,highest,total,total,2003,37.8,DIAR,child,Medium
Kenya,indicator_7,Total,Under 5 years old,total,total,secondary and higher,2003,29.9,DIAR,child,Medium
Kenya,indicator_11,Total,15 to 49 years old,total,total,total,2003,5.4,MALA,mother,Low
Kenya,indicator_7,Total,Under 5 years old,fourth,total,total,2003,32.7,DIAR,child,Medium
Kenya,indicator_9,Total,15 to 49 years old,total,urban,total,2003,2.0,MALA,mother,Low
Kenya,indicator_9,Total,15 to 49 years old,total,total,secondary and higher,2003,3.0,MALA,mother,Low
Kenya,indicator_7,Total,Under 5 years old,middle,total,total,2003,25.2,DIAR,child,Medium
Kenya,indicator_13,Total,Total,total,total,total,2003,47.0,MATERNAL_MORTALITY,mother,Medium
Kenya,indicator_9,Total,15 to 49 years old,highest,total,total,2003,2.0,MALA,mother,Low
Kenya,indicator_2,Total,15 to 49 years old,lowest,total,total,2003,75.1,ANTENATAL,mother,Low
Kenya,indicator_7,Total,Under 5 years old,second,total,total,2003,25.0,DIAR,child,Medium
Kenya,indicator_7,Total,Under 5 years old,lowest,total,total,2003,29.7,DIAR,child,Medium
Kenya,indicator_7,Male,Under 5 years old,total,total,total,2003,26.6,DIAR,child,Medium
Kenya,indicator_7,Female,Under 5 years old,total,total,total,2003,33.5,DIAR,child,Medium
Kenya,indicator_9,Total,15 to 49 years old,total,total,primary education,2003,2.0,MALA,mother,Low
Kenya,indicator_14,Total,Total,total,total,total,2003,5693.3,MATERNAL_MORTALITY,mother,Low
Kenya,indicator_11,Total,15 to 49 years old,fourth,total,total,2003,7.4,MALA,mother,Low
Kenya,indicator_6,Total,15 to 49 years old,total,total,total,2003,31.5,FAMILY_PLANNING,mother,Low
Kenya,indicator_7,Total,Under 5 years old,total,total,never attended an education programme / no schooling,2003,30.4,DIAR,child,Medium
Kenya,indicator_9,Total,15 to 49 years old,fourth,total,total,2003,2.0,MALA,mother,Low
Kenya,indicator_11,Total,15 to 49 years old,middle,total,total,2003,6.5,MALA,mother,Low
Kenya,indicator_7,Total,Under 5 years old,total,total,primary education,2003,29.5,DIAR,child,Medium
Kenya,indicator_9,Total,15 to 49 years old,total,total,total,2003,2.0,MALA,mother,Low
Kenya,indicator_11,Total,15 to 49 years old,second,total,total,2003,4.0,MALA,mother,Low
Kenya,indicator_9,Total,15 to 49 years old,total,total,never attended an education programme / no schooling,2003,1.0,MALA,mother,Low
Kenya,indicator_3,Total,15 to 49 years old,total,total,total,2003,52.3,ANTENATAL,mother,Medium
Kenya,indicator_25,Total,15 to 49 years old,highest,total,total,2003,75.4,DELIVERY,mother,Medium
Kenya,indicator_19,Total,Under 5 years old,highest,total,total,2003,35.7,DIAR,child,Medium
Kenya,indicator_24,Total,Under 5 years old,total,total,total,2003,49.0,PNEU,child,Low
Kenya,indicator_3,Total,15 to 49 years old,lowest,total,total,2003,39.5,ANTENATAL,mother,Low
Kenya,indicator_9,Total,15 to 49 years old,second,total,total,2003,3.0,MALA,mother,Low
Kenya,indicator_21,Male,Under 5 years old,total,total,total,2003,32.0,DIAR,child,Medium
Kenya,indicator_24,Total,Under 5 years old,total,urban,total,2003,63.0,PNEU,child,Medium
Kenya,indicator_3,Total,15 to 19 years old,total,total,total,2003,42.2,ANTENATAL,mother,Low
Kenya,indicator_8,Total,Total,total,rural,total,2003,33.2,DELIVERY,mother,Low
Kenya,indicator_21,Total,Under 5 years old,lowest,total,total,2003,30.0,DIAR,child,Low
Kenya,indicator_25,Total,15 to 49 years old,middle,total,total,2003,38.2,DELIVERY,mother,Low
Kenya,indicator_21,Total,Under 5 years old,second,total,total,2003,31.0,DIAR,child,Low
Kenya,indicator_2,Total,15 to 49 years old,middle,total,total,2003,92.4,ANTENATAL,mother,Medium
Kenya,indicator_10,Total,Under 5 years old,fourth,total,total,2003,4.8,MALA,child,Low
Kenya,indicator_24,Total,Under 5 years old,total,rural,total,2003,46.0,PNEU,child,Low
Kenya,indicator_21,Total,Under 5 years old,middle,total,total,2003,36.0,DIAR,child,Medium
Kenya,indicator_10,Total,Under 5 years old,lowest,total,total,2003,1.2,MALA,child,Low
Kenya,indicator_2,Total,15 to 49 years old,total,urban,total,2003,93.2,ANTENATAL,mother,Medium
Kenya,indicator_21,Total,Under 5 years old,fourth,total,total,2003,31.0,DIAR,child,Low
Kenya,indicator_8,Total,Total,total,urban,total,2003,70.2,DELIVERY,mother,High
Kenya,indicator_9,Total,15 to 49 years old,lowest,total,total,2003,2.0,MALA,mother,Low
Kenya,indicator_21,Total,Under 5 years old,highest,total,total,2003,40.0,DIAR,child,Medium
Kenya,indicator_10,Total,Under 5 years old,second,total,total,2003,2.2,MALA,child,Low
Kenya,indicator_2,Total,15 to 49 years old,total,rural,total,2003,86.8,ANTENATAL,mother,Low
Kenya,indicator_21,Total,Under 5 years old,total,rural,total,2003,33.0,DIAR,child,Medium
Kenya,indicator_2,Total,15 to 49 years old,fourth,total,total,2003,93.0,ANTENATAL,mother,Medium
Kenya,indicator_24,Male,Under 5 years old,total,total,total,2003,50.0,PNEU,child,Low
Kenya,indicator_21,Total,Under 5 years old,total,urban,total,2003,36.0,DIAR,child,Medium
Kenya,indicator_24,Female,Under 5 years old,total,total,total,2003,48.0,PNEU,child,Low
Kenya,indicator_10,Total,Under 5 years old,middle,total,total,2003,4.9,MALA,child,Low
Kenya,indicator_2,Total,15 to 49 years old,highest,total,total,2003,93.9,ANTENATAL,mother,Medium
Kenya,indicator_21,Female,Under 5 years old,total,total,total,2003,35.0,DIAR,child,Medium
Kenya,indicator_3,Total,15 to 49 years old,second,total,total,2003,42.1,ANTENATAL,mother,Low
Kenya,indicator_2,Total,15 to 49 years old,total,total,total,2003,88.1,ANTENATAL,mother,Low
Kenya,indicator_3,Total,15 to 49 years old,highest,total,total,2003,63.1,ANTENATAL,mother,High
Kenya,indicator_8,Total,Total,middle,total,total,2003,36.5,DELIVERY,mother,Medium
Kenya,indicator_7,Total,Under 5 years old,total,urban,total,2003,30.7,DIAR,child,Medium
Kenya,indicator_10,Male,Under 5 years old,total,total,total,2003,5.1,MALA,child,Low
Kenya,indicator_3,Total,15 to 49 years old,fourth,total,total,2003,53.2,ANTENATAL,mother,Medium
Kenya,indicator_8,Total,Total,fourth,total,total,2003,53.2,DELIVERY,mother,Medium
Kenya,indicator_2,Total,15 to 49 years old,second,total,total,2003,87.4,ANTENATAL,mother,Low
Kenya,indicator_19,Total,Under 5 years old,total,total,total,2003,29.2,DIAR,child,Low
Kenya,indicator_25,Total,15 to 49 years old,lowest,total,total,2003,17.0,DELIVERY,mother,Low
Kenya,indicator_3,Total,15 to 49 years old,total,rural,total,2003,48.6,ANTENATAL,mother,Low
Kenya,indicator_10,Total,Under 5 years old,total,rural,total,2003,3.5,MALA,child,Low
Kenya,indicator_10,Total,Under 5 years old,highest,total,total,2003,12.0,MALA,child,Low
Kenya,indicator_19,Total,Under 5 years old,total,urban,total,2003,31.9,DIAR,child,Low
Kenya,indicator_8,Total,Total,second,total,total,2003,31.4,DELIVERY,mother,Low
Kenya,indicator_8,Total,Total,highest,total,total,2003,73.8,DELIVERY,mother,High
Kenya,indicator_19,Total,Under 5 years old,total,rural,total,2003,28.5,DIAR,child,Low
Kenya,indicator_3,Total,15 to 49 years old,total,urban,total,2003,66.7,ANTENATAL,mother,High
Kenya,indicator_25,Total,15 to 19 years old,total,total,total,2003,47.2,DELIVERY,mother,Medium
Kenya,indicator_10,Total,Under 5 years old,total,urban,total,2003,9.8,MALA,child,Low
Kenya,indicator_25,Total,15 to 49 years old,second,total,total,2003,32.8,DELIVERY,mother,Low
Kenya,indicator_3,Total,15 to 49 years old,middle,total,total,2003,49.1,ANTENATAL,mother,Medium
Kenya,indicator_1,Total,10 to 14 years old,total,total,total,2004,3.5,FERTILITY,mother,Medium
Kenya,indicator_13,Total,Total,total,total,total,2004,48.0,MATERNAL_MORTALITY,mother,Medium
Kenya,indicator_14,Total,Total,total,total,total,2004,5782.6,MATERNAL_MORTALITY,mother,Medium
Kenya,indicator_18,Total,Total,total,total,total,2004,426.04,MATERNAL_MORTALITY,mother,Low
Kenya,indicator_1,Total,15 to 19 years old,total,total,total,2004,120.5,FERTILITY,mother,High
Kenya,indicator_14,Total,Total,total,total,total,2005,6019.3,MATERNAL_MORTALITY,mother,Medium
Kenya,indicator_18,Total,Total,total,total,total,2005,433.57,MATERNAL_MORTALITY,mother,Medium
Kenya,indicator_13,Total,Total,total,total,total,2005,47.0,MATERNAL_MORTALITY,mother,Medium
Kenya,indicator_8,Total,Total,total,total,total,2006,39.1,DELIVERY,mother,Medium
Kenya,indicator_1,Total,10 to 14 years old,total,total,total,2006,2.8,FERTILITY,mother,Medium
Kenya,indicator_8,Total,Total,total,urban,total,2006,66.2,DELIVERY,mother,Medium
Kenya,indicator_8,Total,Total,total,rural,total,2006,32.6,DELIVERY,mother,Low
Kenya,indicator_13,Total,Total,total,total,total,2006,46.0,MATERNAL_MORTALITY,mother,Medium
Kenya,indicator_18,Total,Total,total,total,total,2006,449.63,MATERNAL_MORTALITY,mother,Medium
Kenya,indicator_1,Total,15 to 19 years old,total,total,total,2006,106.3,FERTILITY,mother,High
Kenya,indicator_14,Total,Total,total,total,total,2006,6387.1,MATERNAL_MORTALITY,mother,Medium
Kenya,indicator_18,Total,Total,total,total,total,2007,474.92,MATERNAL_MORTALITY,mother,Medium
Kenya,indicator_13,Total,Total,total,total,total,2007,44.0,MATERNAL_MORTALITY,mother,Low
Kenya,indicator_14,Total,Total,total,total,total,2007,6918.3,MATERNAL_MORTALITY,mother,Medium
Kenya,indicator_1,Total,15 to 19 years old,total,total,total,2007,103.0,FERTILITY,mother,High
Kenya,indicator_1,Total,10 to 14 years old,total,total,total,2007,2.4,FERTILITY,mother,Low
Kenya,indicator_14,Total,Total,total,total,total,2008,7182.0,MATERNAL_MORTALITY,mother,High
Kenya,indicator_18,Total,Total,total,total,total,2008,483.96,MATERNAL_MORTALITY,mother,High
Kenya,indicator_13,Total,Total,total,total,total,2008,43.0,MATERNAL_MORTALITY,mother,Low
Kenya,indicator_10,Total,Under 5 years old,total,total,total,2009,46.7,MALA,child,Medium
Kenya,indicator_11,Total,15 to 49 years old,highest,total,total,2009,43.3,MALA,mother,Medium
Kenya,indicator_10,Total,Under 5 years old,middle,total,total,2009,48.7,MALA,child,Medium
Kenya,indicator_10,Male,Under 5 years old,total,total,total,2009,46.2,MALA,child,Medium
Kenya,indicator_10,Total,Under 5 years old,highest,total,total,2009,58.3,MALA,child,High
Kenya,indicator_10,Total,Under 5 years old,total,rural,total,2009,43.6,MALA,child,Medium
Kenya,indicator_11,Total,15 to 49 years old,second,total,total,2009,51.3,MALA,mother,Medium
Kenya,indicator_9,Total,15 to 49 years old,total,total,secondary and higher,2009,8.0,MALA,mother,Medium
Kenya,indicator_10,Total,Under 5 years old,lowest,total,total,2009,38.3,MALA,child,Medium
Kenya,indicator_9,Total,15 to 49 years old,total,total,never attended an education programme / no schooling,2009,2.0,MALA,mother,Low
Kenya,indicator_10,Total,Under 5 years old,total,urban,total,2009,61.8,MALA,child,High
Kenya,indicator_11,Total,15 to 49 years old,fourth,total,total,2009,61.1,MALA,mother,High
Kenya,indicator_10,Total,Under 5 years old,second,total,total,2009,42.3,MALA,child,Medium
Kenya,indicator_11,Total,15 to 49 years old,lowest,total,total,2009,46.3,MALA,mother,Medium
Kenya,indicator_9,Total,15 to 49 years old,total,total,primary education,2009,6.0,MALA,mother,Medium
Kenya,indicator_10,Total,Under 5 years old,fourth,total,total,2009,50.5,MALA,child,Medium
Kenya,indicator_9,Total,15 to 49 years old,total,total,total,2009,6.0,MALA,mother,Medium
Kenya,indicator_10,Female,Under 5 years old,total,total,total,2009,47.3,MALA,child,Medium
Kenya,indicator_11,Total,15 to 49 years old,middle,total,total,2009,47.9,MALA,mother,Medium
Kenya,indicator_19,Female,Under 5 years old,total,total,total,2009,40.0,DIAR,child,Medium
Kenya,indicator_11,Total,15 to 49 years old,total,urban,total,2009,50.9,MALA,mother,Medium
Kenya,indicator_24,Total,Under 5 years old,total,total,total,2009,55.9,PNEU,child,Low
Kenya,indicator_24,Total,Under 5 years old,total,urban,total,2009,65.5,PNEU,child,Medium
Kenya,indicator_24,Total,Under 5 years old,total,rural,total,2009,53.9,PNEU,child,Low
Kenya,indicator_24,Total,Under 5 years old,highest,total,total,2009,62.6,PNEU,child,Medium
Kenya,indicator_24,Total,Under 5 years old,fourth,total,total,2009,52.0,PNEU,child,Low
Kenya,indicator_24,Total,Under 5 years old,middle,total,total,2009,62.5,PNEU,child,Medium
Kenya,indicator_25,Total,15 to 19 years old,total,total,total,2009,55.6,DELIVERY,mother,Medium
Kenya,indicator_24,Total,Under 5 years old,second,total,total,2009,48.0,PNEU,child,Low
Kenya,indicator_24,Male,Under 5 years old,total,total,total,2009,57.4,PNEU,child,Medium
Kenya,indicator_24,Female,Under 5 years old,total,total,total,2009,54.3,PNEU,child,Low
Kenya,indicator_21,Total,Under 5 years old,total,total,total,2009,42.6,DIAR,child,Medium
Kenya,indicator_21,Total,Under 5 years old,total,urban,total,2009,44.4,DIAR,child,Medium
Kenya,indicator_21,Total,Under 5 years old,total,rural,total,2009,42.2,DIAR,child,Medium
Kenya,indicator_21,Total,Under 5 years old,highest,total,total,2009,41.3,DIAR,child,Medium
Kenya,indicator_24,Total,Under 5 years old,lowest,total,total,2009,56.5,PNEU,child,Medium
Kenya,indicator_25,Total,15 to 49 years old,lowest,total,total,2009,20.3,DELIVERY,mother,Low
Kenya,indicator_25,Total,15 to 49 years old,second,total,total,2009,31.3,DELIVERY,mother,Low
Kenya,indicator_25,Total,15 to 49 years old,middle,total,total,2009,41.9,DELIVERY,mother,Medium
Kenya,indicator_27,Total,Under 5 years old,total,total,primary education,2009,0.2,DIAR,child,Low
Kenya,indicator_27,Total,Under 5 years old,total,total,never attended an education programme / no schooling,2009,0.5,DIAR,child,Medium
Kenya,indicator_27,Total,Under 5 years old,total,urban,total,2009,0.0,DIAR,child,Low
Kenya,indicator_27,Total,Under 5 years old,total,rural,total,2009,0.2,DIAR,child,Low
Kenya,indicator_27,Total,Under 5 years old,highest,total,total,2009,0.0,DIAR,child,Low
Kenya,indicator_27,Total,Under 5 years old,fourth,total,total,2009,0.6,DIAR,child,Medium
Kenya,indicator_27,Total,Under 5 years old,middle,total,total,2009,0.1,DIAR,child,Low
Kenya,indicator_27,Total,Under 5 years old,second,total,total,2009,0.0,DIAR,child,Low
Kenya,indicator_27,Total,Under 5 years old,lowest,total,total,2009,0.2,DIAR,child,Low
Kenya,indicator_27,Male,Under 5 years old,total,total,total,2009,0.4,DIAR,child,Low
Kenya,indicator_25,Total,15 to 49 years old,total,total,total,2009,43.8,DELIVERY,mother,Medium
Kenya,indicator_25,Total,15 to 49 years old,total,urban,total,2009,74.8,DELIVERY,mother,Medium
Kenya,indicator_25,Total,15 to 49 years old,total,rural,total,2009,36.8,DELIVERY,mother,Low
Kenya,indicator_25,Total,15 to 49 years old,highest,total,total,2009,81.4,DELIVERY,mother,Medium
Kenya,indicator_25,Total,15 to 49 years old,fourth,total,total,2009,52.9,DELIVERY,mother,Medium
Kenya,indicator_21,Total,Under 5 years old,fourth,total,total,2009,42.8,DIAR,child,Medium
Kenya,indicator_21,Total,Under 5 years old,middle,total,total,2009,40.6,DIAR,child,Medium
Kenya,indicator_21,Total,Under 5 years old,second,total,total,2009,34.9,DIAR,child,Medium
Kenya,indicator_21,Total,Under 5 years old,lowest,total,total,2009,49.4,DIAR,child,High
Kenya,indicator_19,Male,Under 5 years old,total,total,total,2009,37.8,DIAR,child,Medium
Kenya,indicator_18,Total,Total,total,total,total,2009,498.31,MATERNAL_MORTALITY,mother,High
Kenya,indicator_15,Total,Under 5 years old,total,total,total,2009,33.5,MALA,child,Low
Kenya,indicator_15,Total,Under 5 years old,total,urban,total,2009,52.9,MALA,child,Low
Kenya,indicator_15,Total,Under 5 years old,total,rural,total,2009,28.9,MALA,child,Low
Kenya,indicator_15,Total,Under 5 years old,highest,total,total,2009,49.5,MALA,child,Low
Kenya,indicator_15,Total,Under 5 years old,fourth,total,total,2009,25.6,MALA,child,Low
Kenya,indicator_15,Total,Under 5 years old,middle,total,total,2009,36.7,MALA,child,Low
Kenya,indicator_15,Total,Under 5 years old,second,total,total,2009,29.4,MALA,child,Low
Kenya,indicator_15,Total,Under 5 years old,lowest,total,total,2009,27.8,MALA,child,Low
Kenya,indicator_15,Male,Under 5 years old,total,total,total,2009,35.1,MALA,child,Low
Kenya,indicator_15,Female,Under 5 years old,total,total,total,2009,31.5,MALA,child,Low
Kenya,indicator_14,Total,Total,total,total,total,2009,7484.3,MATERNAL_MORTALITY,mother,High
Kenya,indicator_13,Total,Total,total,total,total,2009,43.0,MATERNAL_MORTALITY,mother,Low
Kenya,indicator_11,Total,15 to 49 years old,total,total,total,2009,49.0,MALA,mother,Medium
Kenya,indicator_19,Total,Under 5 years old,lowest,total,total,2009,39.8,DIAR,child,Medium
Kenya,indicator_11,Total,15 to 49 years old,total,rural,total,2009,48.4,MALA,mother,Medium
Kenya,indicator_19,Total,Under 5 years old,second,total,total,2009,34.8,DIAR,child,Low
Kenya,indicator_19,Total,Under 5 years old,fourth,total,total,2009,38.7,DIAR,child,Medium
Kenya,indicator_21,Male,Under 5 years old,total,total,total,2009,43.3,DIAR,child,Medium
Kenya,indicator_21,Female,Under 5 years old,total,total,total,2009,41.8,DIAR,child,Medium
Kenya,indicator_20,Total,Under 5 years old,total,total,total,2009,0.2,DIAR,child,Low
Kenya,indicator_20,Total,Under 5 years old,total,total,primary education,2009,0.2,DIAR,child,Low
Kenya,indicator_20,Total,Under 5 years old,total,total,never attended an education programme / no schooling,2009,0.3,DIAR,child,Low
Kenya,indicator_20,Total,Under 5 years old,total,urban,total,2009,0.0,DIAR,child,Low
Kenya,indicator_20,Total,Under 5 years old,total,rural,total,2009,0.2,DIAR,child,Low
Kenya,indicator_20,Total,Under 5 years old,fourth,total,total,2009,0.6,DIAR,child,Low
Kenya,indicator_20,Total,Under 5 years old,middle,total,total,2009,0.1,DIAR,child,Low
Kenya,indicator_20,Total,Under 5 years old,lowest,total,total,2009,0.2,DIAR,child,Low
